"","Symbol_Rat","Symbol_Human"
"8387","Eno4","ENO4"
"8388","Dpy19l3","DPY19L3"
"8389","Zfp438","ZNF438"
"8390","Lrrc4c","LRRC4C"
"8391","Zfp473","ZNF473"
"8392","Tmem229b","TMEM229B"
"8393","Spin4","SPIN4"
"8394","Fam168a","FAM168A"
"8395","Tmem72","TMEM72"
"8396","Iffo1","IFFO1"
"8397","Vstm4","VSTM4"
"8398","Igsf10","IGSF10"
"8399","Cfap206","CFAP206"
"8400","Wdr49","WDR49"
"8401","Layn","LAYN"
"8402","Srarp","SRARP"
"8403","Cers3","CERS3"
"8404","Nlrc3","NLRC3"
"8405","Slc51b","SLC51B"
"8406","Hepacam2","HEPACAM2"
"8407","Vmac","VMAC"
"8408","Afap1l1","AFAP1L1"
"8409","Brwd3","BRWD3"
"8410","Whrn","WHRN"
"8411","Col14a1","COL14A1"
"8412","Mustn1","MUSTN1"
"8413","Rftn1","RFTN1"
"8414","Fam89b","FAM89B"
"8415","Eras","ERAS"
"8416","LOC100911243","ERAS"
"8417","Gpr151","GPR151"
"8418","Clec18a","CLEC18B"
"8419","Pifo","PIFO"
"8420","Deup1","DEUP1"
"8421","Lyrm7","LYRM7"
"8422","RGD1310166","C17orf64"
"8423","Rflna","RFLNA"
"8424","Rflna","ZNF664-RFLNA"
"8425","Crtc2","CRTC2"
"8426","Arhgap30","ARHGAP30"
"8427","Muc6","MUC6"
"8428","Ffar4","FFAR4"
"8429","Gpr142","GPR142"
"8430","Dpy19l4","DPY19L4"
"8431","Zbtb12","ZBTB12"
"8432","Champ1","CHAMP1"
"8433","Zfp428","ZNF428"
"8434","Tmem270","TMEM270"
"8435","C1ql2","C1QL2"
"8436","Faap20","FAAP20"
"8437","Lhfpl5","LHFPL5"
"8438","Lypd5","LYPD5"
"8439","Spata46","SPATA46"
"8440","Lsmem1","LSMEM1"
"8441","Samd7","SAMD7"
"8442","Fam131c","FAM131C"
"8443","Bpifb3","BPIFB3"
"8444","Rflnb","RFLNB"
"8445","LOC689986","C1orf146"
"8446","Tafa3","TAFA3"
"8447","Macc1","MACC1"
"8448","Gpr18","GPR18"
"8449","Emilin3","EMILIN3"
"8450","Tmem150c","TMEM150C"
"8451","Ccnb1ip1","CCNB1IP1"
"8452","Arl13b","ARL13B"
"8453","Adamts9","ADAMTS9"
"8454","Kmt2e","KMT2E"
"8455","Glt6d1","GLT6D1"
"8456","Trim69","TRIM69"
"8457","Raver2","RAVER2"
"8458","Rnase9","RNASE9"
"8459","Prss38","PRSS38"
"8461","RGD1563263","C11orf94"
"8462","Spink8","SPINK8"
"8463","Elfn2","ELFN2"
"8464","Foxi2","FOXI2"
"8465","Slfn5","SLFN5"
"8466","LOC100911042","SMCO1"
"8467","Smco1","SMCO1"
"8468","Rtl5","RTL5"
"8469","Frmd7","FRMD7"
"8470","RGD1309651","C16orf74"
"8471","RGD1311084","C9orf50"
"8472","Grhl3","GRHL3"
"8473","Qrfpr","QRFPR"
"8474","Nhs","NHS"
"8475","Mpzl3","MPZL3"
"8476","Sting1","STING1"
"8477","Cmip","CMIP"
"8478","Lonrf2","LONRF2"
"8479","Cfap20dc","CFAP20DC"
"8480","Mms22l","MMS22L"
"8481","Cxcl17","CXCL17"
"8482","Nkpd1","NKPD1"
"8483","Clec4g","CLEC4G"
"8484","RGD1562914","C11orf53"
"8485","Paqr9","PAQR9"
"8486","B3gnt8","B3GNT8"
"8487","Fam89a","FAM89A"
"8488","Catip","CATIP"
"8489","RGD1306227","C5orf34"
"8490","Klhl30","KLHL30"
"8491","Zpbp2","ZPBP2"
"8492","Mrgprd","MRGPRD"
"8493","Plekhg1","PLEKHG1"
"8494","Ube3d","UBE3D"
"8495","Rasal3","RASAL3"
"8496","Ice1","ICE1"
"8497","Ccdc88c","CCDC88C"
"8498","Efcab12","EFCAB12"
"8499","Galnt16","GALNT16"
"8500","Adamtsl3","ADAMTSL3"
"8501","Pcdh19","PCDH19"
"8502","Fhdc1","FHDC1"
"8503","Secisbp2l","SECISBP2L"
"8504","Nckap5l","NCKAP5L"
"8505","Camsap2","CAMSAP2"
"8506","Myh15","MYH15"
"8507","Tbc1d30","TBC1D30"
"8508","Pkdcc","PKDCC"
"8509","Ranbp6","RANBP6"
"8510","Zfp469","ZNF469"
"8511","Arhgap20","ARHGAP20"
"8512","Prune2","PRUNE2"
"8513","Mier2","MIER2"
"8514","Camta1","CAMTA1"
"8515","Kdm6b","KDM6B"
"8516","Tanc1","TANC1"
"8517","Dapl1","DAPL1"
"8518","Bex4","BEX4"
"8519","Dusp27","STYXL2"
"8520","Mex3a","MEX3A"
"8521","Slain2","SLAIN2"
"8522","Limch1","LIMCH1"
"8523","Sipa1l2","SIPA1L2"
"8524","Prr12","PRR12"
"8525","Zswim5","ZSWIM5"
"8526","Camsap3","CAMSAP3"
"8527","Rusc2","RUSC2"
"8528","LOC100362344","RIMKLB"
"8529","Rimklb","RIMKLB"
"8530","Haus5","HAUS5"
"8531","Kif26a","KIF26A"
"8533","Atg16l2","ATG16L2"
"8534","Lrrk2","LRRK2"
"8535","Zfp787","ZNF787"
"8536","RGD1309139","C1orf194"
"8537","RGD1562229","C2orf73"
"8538","Ccdc173","CCDC173"
"8539","Cib4","CIB4"
"8540","Ttc32","TTC32"
"8541","Zfp648","ZNF648"
"8542","LOC100302465","C10orf90"
"8543","Dbx1","DBX1"
"8545","Ceacam20","CEACAM20"
"8546","C2cd4c","C2CD4C"
"8547","Zfp831","ZNF831"
"8548","Otol1","OTOL1"
"8549","Shisal2b","SHISAL2B"
"8550","LOC102546577","OC90"
"8551","Oc90","OC90"
"8553","Colca2","COLCA2"
"8554","RGD1307621","C14orf28"
"8555","Pm20d2","PM20D2"
"8556","Slc38a8","SLC38A8"
"8557","Atp8b3","ATP8B3"
"8558","Syde2","SYDE2"
"8559","Gpat2","GPAT2"
"8560","RGD1305110","KIAA1841"
"8561","Znf474","LOC100505841"
"8562","RGD1311595","KIAA2026"
"8563","Fam170b","FAM170B"
"8564","Pwwp2b","PWWP2B"
"8565","RGD1309779","C15orf61"
"8566","Bcl2l15","BCL2L15"
"8567","Ism1","ISM1"
"8568","Ydjc","YDJC"
"8569","Garem2","GAREM2"
"8570","Sh3d19","SH3D19"
"8571","Irx1","IRX1"
"8572","Chd7","CHD7"
"8574","Ankib1","ANKIB1"
"8575","Lrrc3c","LRRC3C"
"8576","Krt39","KRT39"
"8577","Nlrp1b","NLRP1"
"8580","Dhrs7c","DHRS7C"
"8581","LOC689766","C1orf100"
"8582","Zfp518b","ZNF518B"
"8583","Slc35d3","SLC35D3"
"8584","Shc2","SHC2"
"8585","Spryd4","SPRYD4"
"8586","Fam161a","FAM161A"
"8587","Cfap97d1","CFAP97D1"
"8588","LOC691189","C17orf98"
"8589","Fam171a2","FAM171A2"
"8591","Rd3l","RD3L"
"8592","Psmg4","PSMG4"
"8593","Wnk2","WNK2"
"8594","Sh2d4b","SH2D4B"
"8595","Rnase10","RNASE10"
"8596","Samd4a","SAMD4A"
"8597","Larp4","LARP4"
"8599","Ptx4","PTX4"
"8600","Eme2","EME2"
"8601","Lrfn2","LRFN2"
"8602","Lrrc73","LRRC73"
"8603","RGD1563060","C5orf46"
"8604","Spindoc","SPINDOC"
"8605","Camsap1","CAMSAP1"
"8606","Cracdl","CRACDL"
"8607","Fam209","FAM209B"
"8608","Mybphl","MYBPHL"
"8609","Arhgef39","ARHGEF39"
"8610","Mfsd2a","MFSD2A"
"8611","Cd164l2","CD164L2"
"8612","Crybg2","CRYBG2"
"8613","Draxin","DRAXIN"
"8614","Rnf207","RNF207"
"8615","Adgra3","ADGRA3"
"8616","Lamtor4","LAMTOR4"
"8617","LOC691113","C2orf68"
"8618","Clec12b","CLEC12B"
"8619","Resf1","RESF1"
"8620","Fezf1","FEZF1"
"8621","Ccdc61","CCDC61"
"8622","Nccrp1","NCCRP1"
"8623","Fam71e1","FAM71E1"
"8624","Tmem219","TMEM219"
"8625","Lrrc27","LRRC27"
"8626","Erich1","ERICH1"
"8627","Mboat4","MBOAT4"
"8628","RGD1561415","C16orf86"
"8629","Prss54","PRSS54"
"8630","RGD1561444","KIAA0895"
"8631","RGD1305464","C15orf39"
"8632","Hhatl","HHATL"
"8634","Map3k19","MAP3K19"
"8635","Mideas","MIDEAS"
"8636","Lrrc74a","LRRC74A"
"8638","C1ql4","C1QL4"
"8639","Ccdc154","CCDC154"
"8640","Tdrd6","TDRD6"
"8641","Tmem151b","TMEM151B"
"8642","Bicral","BICRAL"
"8643","Jcad","JCAD"
"8644","Zfp518a","ZNF518A"
"8645","Gpr158","GPR158"
"8646","Zbtb34","ZBTB34"
"8647","Lrrc55","LRRC55"
"8648","Xirp2","XIRP2"
"8649","Xkr7","XKR7"
"8650","Zc3h12b","ZC3H12B"
"8652","Rtl3","RTL3"
"8654","Nxf3","NXF3"
"8655","Iqsec2","IQSEC2"
"8656","Tceanc","TCEANC"
"8657","Lrit3","LRIT3"
"8658","Vwa5b1","VWA5B1"
"8659","Myom3","MYOM3"
"8660","Rsbn1l","RSBN1L"
"8661","Rnf216","RNF216"
"8664","Atxn1l","ATXN1L"
"8665","Igsf9b","IGSF9B"
"8666","Cldn25","CLDN25"
"8667","Ubap1l","UBAP1L"
"8668","Fam83b","FAM83B"
"8669","Tnfaip8l3","TNFAIP8L3"
"8670","Inca1","INCA1"
"8671","Spata13","SPATA13"
"8672","Nynrin","NYNRIN"
"8673","Ccdc191","CCDC191"
"8674","Cpn2","CPN2"
"8675","RGD1304622","KIAA1614"
"8676","Trnp1","TRNP1"
"8677","Rtp2","RTP2"
"8678","Usf3","USF3"
"8679","Slc9c1","SLC9C1"
"8680","Ankrd16","ANKRD16"
"8681","Bend3","BEND3"
"8682","Ppp1r18","PPP1R18"
"8683","Olr332","OR5A2"
"8684","Fam171a1","FAM171A1"
"8685","C2cd3","C2CD3"
"8686","Susd5","SUSD5"
"8687","Epgn","EPGN"
"8688","Myadml2","MYADML2"
"8689","Zbtb38","ZBTB38"
"8690","Hoxc6","HOXC6"
"8691","RGD1308117","C8orf58"
"8692","Dennd2c","DENND2C"
"8693","Fbxo10","FBXO10"
"8694","Anks6","ANKS6"
"8695","Nat8l","NAT8L"
"8696","Xrra1","XRRA1"
"8697","Calhm4","CALHM4"
"8698","Meioc","MEIOC"
"8699","Arhgef40","ARHGEF40"
"8700","Shc4","SHC4"
"8701","Mcrip1","MCRIP1"
"8702","Plekhm2","PLEKHM2"
"8703","Lrrc10b","LRRC10B"
"8704","Stkld1","STKLD1"
"8705","Nexmif","NEXMIF"
"8706","Rilp","RILP"
"8707","Fuom","FUOM"
"8708","LOC100911225","FUOM"
"8709","Tmed8","TMED8"
"8710","Tmem150b","TMEM150B"
"8711","Ankrd45","ANKRD45"
"8712","Cenpl","CENPL"
"8713","Zfp710","ZNF710"
"8714","Mroh7","MROH7"
"8715","Heatr5a","HEATR5A"
"8716","Ccdc33","CCDC33"
"8717","Lcmt2","LCMT2"
"8718","Fndc1","FNDC1"
"8719","LOC100911196","ZNF865"
"8720","Tead2","TEAD2"
"8721","Lrtomt","LRTOMT"
"8722","Zkscan2","ZKSCAN2"
"8726","Dnah3","DNAH3"
"8727","Hpse2","HPSE2"
"8728","Parp14","PARP14"
"8729","Dstyk","DSTYK"
"8730","LOC680039","KIAA0232"
"8731","Olr1637","OR6S1"
"8732","Pabpn1l","PABPN1L"
"8733","Paqr6","PAQR6"
"8734","Arhgef38","ARHGEF38"
"8735","Nhsl2","NHSL2"
"8736","Pjvk","PJVK"
"8737","Ankrd63","ANKRD63"
"8738","RGD1306271","KIAA1549"
"8739","Zfp746","ZNF746"
"8740","Pcare","PCARE"
"8741","Adamtsl5","ADAMTSL5"
"8742","Ascl4","ASCL4"
"8743","Fdxacb1","FDXACB1"
"8744","Ankrd34c","ANKRD34C"
"8745","Adgrv1","ADGRV1"
"8746","Inka1","INKA1"
"8747","Glyatl3","GLYATL3"
"8749","Topaz1","TOPAZ1"
"8750","Fbxo41","FBXO41"
"8751","Foxr1","FOXR1"
"8752","Myorg","MYORG"
"8753","Ceacam16","CEACAM16"
"8754","Olr1433","OR2W3"
"8755","Sp6","SP6"
"8756","Tmem240","TMEM240"
"8757","Tvp23a","TVP23A"
"8758","Gatc","GATC"
"8759","LOC100909836","GATC"
"8760","RGD1566099","C1orf53"
"8761","Ermard","ERMARD"
"8762","Ttc9b","TTC9B"
"8763","Trpm1","TRPM1"
"8764","Ajm1","AJM1"
"8765","Efcab7","EFCAB7"
"8766","Ripply2","RIPPLY2"
"8767","Sh2d5","SH2D5"
"8768","Zbtb42","ZBTB42"
"8769","Eppk1","EPPK1"
"8770","Iqcf5","IQCF5"
"8771","Pfn4","PFN4"
"8772","Xkr9","XKR9"
"8773","Acads","ACADS"
"8774","Acvrl1","ACVRL1"
"8775","Aldob","ALDOB"
"8776","Atp7b","ATP7B"
"8777","Avpr2","AVPR2"
"8778","Bche","BCHE"
"8779","F13a1","F13A1"
"8780","Fuca1","FUCA1"
"8781","G6pc1","G6PC1"
"8782","Gipr","GIPR"
"8783","Glra1","GLRA1"
"8784","Gnat1","GNAT1"
"8785","Cfh","CFH"
"8786","Hsd11b2","HSD11B2"
"8787","Hsd17b3","HSD17B3"
"8788","Insr","INSR"
"8789","Itga6","ITGA6"
"8790","Itgb2","ITGB2"
"8791","Mmut","MMUT"
"8792","Myl3","MYL3"
"8793","Myo5a","MYO5A"
"8794","Pfkm","PFKM"
"8795","Serpina1","SERPINA1"
"8796","Pkd2","PKD2"
"8797","Rpe65","RPE65"
"8798","Serpina7","SERPINA7"
"8799","Col5a2","COL5A2"
"8800","Egr2","EGR2"
"8801","L1cam","L1CAM"
"8802","Slc26a4","SLC26A4"
"8803","Ak1","AK1"
"8804","Aqp2","AQP2"
"8805","Arsa","ARSA"
"8806","Serpinc1","SERPINC1"
"8807","Epx","EPX"
"8808","Hexa","HEXA"
"8809","Hoxd13","HOXD13"
"8810","Htr1a","HTR1A"
"8811","Ren","REN"
"8812","Cd53","CD53"
"8813","Gpx1","GPX1"
"8814","Spp1","SPP1"
"8815","Serpina5","SERPINA5"
"8816","Adh4","ADH4"
"8817","Adora1","ADORA1"
"8818","Adora2a","ADORA2A"
"8819","Adora2b","ADORA2B"
"8820","Adra2c","ADRA2C"
"8821","Adrb1","ADRB1"
"8822","Agtr2","AGTR2"
"8823","Aldh3a1","ALDH3A1"
"8824","Amy1a","AMY2A"
"8825","Atp4b","ATP4B"
"8826","Ca4","CA4"
"8827","Cacna1b","CACNA1B"
"8828","Cacna1e","CACNA1E"
"8829","Cacnb3","CACNB3"
"8830","Cacnb4","CACNB4"
"8831","Chrm1","CHRM1"
"8832","LOC102551851","CHRM2"
"8833","Chrm3","CHRM3"
"8834","Chrm4","CHRM4"
"8835","Chrna2","CHRNA2"
"8836","Chrnb4","CHRNB4"
"8837","Drd4","DRD4"
"8838","Drd5","DRD5"
"8839","Gabra2","GABRA2"
"8840","Gabra3","GABRA3"
"8841","Gabra5","GABRA5"
"8842","Gabra6","GABRA6"
"8843","Gabrb1","GABRB1"
"8844","Gad2","GAD2"
"8845","Glrb","GLRB"
"8846","Gria2","GRIA2"
"8847","Gria1","GRIA1"
"8848","Gria4","GRIA4"
"8849","Grm2","GRM2"
"8850","Grm4","GRM4"
"8851","Grm6","GRM6"
"8852","Grm7","GRM7"
"8853","Htr1d","HTR1D"
"8854","Htr2c","HTR2C"
"8855","Htr4","HTR4"
"8856","Htr7","HTR7"
"8857","Itgb7","ITGB7"
"8858","Kcnj5","KCNJ5"
"8859","Kcnj2","KCNJ2"
"8860","Maob","MAOB"
"8861","Oprd1","OPRD1"
"8862","Oprk1","OPRK1"
"8863","Oxtr","OXTR"
"8864","Pde4c","PDE4C"
"8865","Ptafr","PTAFR"
"8866","Ptger4","PTGER4"
"8867","Rara","RARA"
"8868","Rarg","RARG"
"8869","LOC100359539","RRM2"
"8870","Rrm2","RRM2"
"8871","Scnn1g","SCNN1G"
"8872","Slc12a2","SLC12A2"
"8873","Sstr3","SSTR3"
"8874","Sstr4","SSTR4"
"8875","Sstr5","SSTR5"
"8876","Tacr1","TACR1"
"8877","Anxa5","ANXA5"
"8878","Arhgdib","ARHGDIB"
"8879","Arl1","ARL1"
"8880","Bcat1","BCAT1"
"8881","Ca6","CA6"
"8882","Ca9","CA9"
"8883","Ca12","CA12"
"8884","Casq1","CASQ1"
"8885","Casq2","CASQ2"
"8886","Serpinh1","SERPINH1"
"8887","Cbr3","CBR3"
"8888","Entpd2","ENTPD2"
"8889","Cdh13","CDH13"
"8890","Ap1s1","AP1S1"
"8891","Clic1","CLIC1"
"8892","Ccr1","CCR1"
"8893","Crmp1","CRMP1"
"8894","Cx3cr1","CX3CR1"
"8895","Dgkq","DGKQ"
"8896","Dapk3","DAPK3"
"8897","Dnah9","DNAH9"
"8898","Dpys","DPYS"
"8899","Dpysl3","DPYSL3"
"8900","Dtna","DTNA"
"8901","Eef1g","EEF1G"
"8902","Eif1a","EIF1AX"
"8903","Elavl1","ELAVL1"
"8904","Fhl2","FHL2"
"8905","Foxc1","FOXC1"
"8906","Fzd2","FZD2"
"8907","B4galt1","B4GALT1"
"8908","Gle1","GLE1"
"8909","Gpr39","GPR39"
"8910","Ndst1","NDST1"
"8911","Ing2","ING2"
"8912","Acvr2a","ACVR2A"
"8913","Anxa8","ANXA8"
"8914","Anxa8","ANXA8L1"
"8915","Aplp2","APLP2"
"8916","Aqp5","AQP5"
"8917","Aqp6","AQP6"
"8918","Arhgap4","ARHGAP4"
"8919","Bmp7","BMP7"
"8920","Bmx","BMX"
"8921","C5ar1","C5AR1"
"8922","Car1","CA1"
"8923","Serpina6","SERPINA6"
"8924","Ccnd3","CCND3"
"8925","Cd9","CD9"
"8926","Cd37","CD37"
"8927","Entpd1","ENTPD1"
"8928","Cdh2","CDH2"
"8929","Cdh3","CDH3"
"8930","Cenpe","CENPE"
"8931","Ckm","CKM"
"8932","Clcn3","CLCN3"
"8933","Ccr3","CCR3"
"8934","Col4a1","COL4A1"
"8935","Col9a3","COL9A3"
"8936","Csnk2a2","CSNK2A2"
"8937","Cspg4","CSPG4"
"8938","Ctps1","CTPS1"
"8939","Cfd","CFD"
"8940","Cela1","CELA1"
"8941","Elane","ELANE"
"8942","Erbb3","ERBB3"
"8943","Ezh1","EZH1"
"8944","Fgfr4","FGFR4"
"8945","Fpr1","FPR1"
"8946","Gabrr1","GABRR1"
"8947","Gabrr2","GABRR2"
"8948","Gna11","GNA11"
"8949","Gpc1","GPC1"
"8950","Gpx2","GPX2"
"8951","Gpx3","GPX3"
"8952","Grsf1","GRSF1"
"8953","Gzmk","GZMK"
"8954","Hck","HCK"
"8955","Hdc","HDC"
"8956","Rbmx","RBMX"
"8957","Hpn","HPN"
"8958","Hspe1","HSPE1"
"8959","Itga5","ITGA5"
"8960","Itgav","ITGAV"
"8961","Itgb5","ITGB5"
"8962","Cd82","CD82"
"8963","Kcna4","KCNA4"
"8964","Kcng1","KCNG1"
"8965","Kcnn3","KCNN3"
"8966","Kcns1","KCNS1"
"8967","Kcns3","KCNS3"
"8968","Kpna3","KPNA3"
"8969","Kpna4","KPNA4"
"8970","Krt4","KRT4"
"8971","Lrch4","LRCH4"
"8972","Lsamp","LSAMP"
"8973","Matn2","MATN2"
"8974","Mcc","MCC"
"8975","Mmp1","MMP1"
"8976","Mmp3","MMP3"
"8977","Mmp10","MMP10"
"8978","Mmp12","MMP12"
"8979","Mmp13","MMP13"
"8980","Mmp15","MMP15"
"8981","Myh3","MYH3"
"8982","Myl4","MYL4"
"8983","Ndn","NDN"
"8984","Nmbr","NMBR"
"8985","Nme3","NME3"
"8986","P2ry4","P2RY4"
"8987","Pcsk6","PCSK6"
"8988","Serpinb2","SERPINB2"
"8989","Pbx1","PBX1"
"8990","Pfkp","PFKP"
"8991","Serpinb5","SERPINB5"
"8992","Pik3c2a","PIK3C2A"
"8993","Pik3c2b","PIK3C2B"
"8994","Pitx1","PITX1"
"8995","Pmp2","PMP2"
"8996","Ppp2r3a","PPP2R3A"
"8997","Prkcg","PRKCG"
"8998","Prss8","PRSS8"
"8999","Psmb10","PSMB10"
"9000","Ptpra","PTPRA"
"9001","Ptprf","PTPRF"
"9002","Ptprs","PTPRS"
"9003","Rab2a","RAB2A"
"9004","Rab3a","RAB3A"
"9005","Ralb","RALB"
"9006","Rcn1","RCN1"
"9007","Sh3gl2","SH3GL2"
"9008","Siah1","SIAH1"
"9009","Slc1a4","SLC1A4"
"9010","Slc7a1","SLC7A1"
"9011","Slc7a2","SLC7A2"
"9012","Slc9a1","SLC9A1"
"9013","Slc9a2","SLC9A2"
"9014","Slc16a1","SLC16A1"
"9015","Slc34a1","SLC34A1"
"9016","Slc18a1","SLC18A1"
"9017","Slc22a1","SLC22A1"
"9018","Smarcd1","SMARCD1"
"9019","Smarcd2","SMARCD2"
"9020","Snrnp70","SNRNP70"
"9021","Stat4","STAT4"
"9022","Stat5a","STAT5A"
"9023","Stim1","STIM1"
"9024","Tcea3","TCEA3"
"9025","Nfe2l1","NFE2L1"
"9026","Tfap2b","TFAP2B"
"9027","Tgm4","TGM4"
"9028","Tgm3","TGM3"
"9029","Thbs4","THBS4"
"9030","Tia1","TIA1"
"9031","Tle2","TLE2"
"9032","Tlr1","TLR1"
"9033","Tlr2","TLR2"
"9034","Tlr3","TLR3"
"9035","Tlr5","TLR5"
"9036","Tspan6","TSPAN6"
"9037","Tmod1","TMOD1"
"9038","Tnnt1","TNNT1"
"9039","Trhr","TRHR"
"9040","Trpc3","TRPC3"
"9041","Trpm2","TRPM2"
"9042","Tulp3","TULP3"
"9043","Tyk2","TYK2"
"9044","Ube2d1","UBE2D1"
"9045","Ugt8","UGT8"
"9046","Usp4","USP4"
"9047","Clip2","CLIP2"
"9048","Wnt2","WNT2"
"9049","Wnt5a","WNT5A"
"9050","Wnt10b","WNT10B"
"9051","Wnt9a","WNT9A"
"9052","Ywhab","YWHAB"
"9053","Znf7","ZNF7"
"9054","Zfp189","ZNF189"
"9055","Cxcr4","CXCR4"
"9056","Csrp3","CSRP3"
"9057","Ptp4a2","PTP4A2"
"9058","Dysf","DYSF"
"9059","Fzd1","FZD1"
"9060","Fzd7","FZD7"
"9061","Tagln2","TAGLN2"
"9062","Bfsp2","BFSP2"
"9063","Stk24","STK24"
"9064","Nck2","NCK2"
"9065","Doc2b","DOC2B"
"9066","Galr3","GALR3"
"9067","Ppfia1","PPFIA1"
"9068","Ndst2","NDST2"
"9069","Lgr5","LGR5"
"9070","Srsf9","SRSF9"
"9071","Adam9","ADAM9"
"9072","Nr5a2","NR5A2"
"9073","Pex11a","PEX11A"
"9074","Hesx1","HESX1"
"9075","Inpp4b","INPP4B"
"9076","Kat2b","KAT2B"
"9077","Cpne3","CPNE3"
"9078","Rab29","RAB29"
"9079","Trio","TRIO"
"9080","Taar5","TAAR5"
"9081","Map7","MAP7"
"9082","Anxa2","ANXA2"
"9083","Bdh1","BDH1"
"9084","Ca8","CA8"
"9085","Plk3","PLK3"
"9086","Ctss","CTSS"
"9087","Dlg1","DLG1"
"9088","Dusp3","DUSP3"
"9089","Foxs1","FOXS1"
"9090","Gng10","GNG10"
"9091","Rab27b","RAB27B"
"9092","Slc1a1","SLC1A1"
"9093","Slc1a3","SLC1A3"
"9094","Slc7a4","SLC7A4"
"9095","Sema3f","SEMA3F"
"9096","Chrna6","CHRNA6"
"9097","Slc28a2","SLC28A2"
"9098","Trip11","TRIP11"
"9099","Tgm5","TGM5"
"9100","Rab9a","RAB9A"
"9101","Slc22a8","SLC22A8"
"9102","Rab3d","RAB3D"
"9103","Mtrf1","MTRF1"
"9104","Acvr1b","ACVR1B"
"9105","Anxa13","ANXA13"
"9106","Arhgap1","ARHGAP1"
"9107","Asph","ASPH"
"9108","Bmpr1a","BMPR1A"
"9109","Cd81","CD81"
"9110","Cd151","CD151"
"9111","LOC100911730","CD151"
"9112","Cdh1","CDH1"
"9113","Crhr1","CRHR1"
"9114","Ddx10","DDX10"
"9115","Dvl1","DVL1"
"9116","Dvl2","DVL2"
"9117","Dvl3","DVL3"
"9118","Epha2","EPHA2"
"9119","Elavl2","ELAVL2"
"9120","Eml1","EML1"
"9121","Epha4","EPHA4"
"9122","Epha7","EPHA7"
"9123","Ephb1","EPHB1"
"9124","Ephb3","EPHB3"
"9125","Ephb4","EPHB4"
"9126","Ephb6","EPHB6"
"9128","Gpc3","GPC3"
"9129","Kcnq3","KCNQ3"
"9130","Lrp2","LRP2"
"9131","Serpinb6a","SERPINB6"
"9132","Plcb2","PLCB2"
"9133","Pou4f2","POU4F2"
"9134","Tra2b","TRA2B"
"9135","Srebf2","SREBF2"
"9136","Tspan7","TSPAN7"
"9137","Tspan8","TSPAN8"
"9138","Wnt7a","WNT7A"
"9139","Wnt11","WNT11"
"9140","Sema3b","SEMA3B"
"9141","Mllt10","MLLT10"
"9142","Nphs1","NPHS1"
"9143","LOC100911013","LIN7A"
"9144","Pias2","PIAS2"
"9145","Krt75","KRT75"
"9146","Slc16a6","SLC16A6"
"9147","Slc16a5","SLC16A5"
"9148","Syngr2","SYNGR2"
"9149","Slc16a7","SLC16A7"
"9150","Gcnt3","GCNT3"
"9151","Dhrs3","DHRS3"
"9152","Asic3","ASIC3"
"9153","Mmp20","MMP20"
"9154","Med1","MED1"
"9155","Tm9sf2","TM9SF2"
"9156","Nrxn1","NRXN1"
"9157","Grap2","GRAP2"
"9158","Ntn1","NTN1"
"9159","Themis2","THEMIS2"
"9160","Rock2","ROCK2"
"9161","Chst10","CHST10"
"9162","Fxr2","FXR2"
"9163","Pdia4","PDIA4"
"9164","Vps9d1","VPS9D1"
"9165","Abcg1","ABCG1"
"9166","Aqp3","AQP3"
"9167","Calb1","CALB1"
"9168","Cdh6","CDH6"
"9169","Dock3","DOCK3"
"9170","Hnrnpf","HNRNPF"
"9171","Jak2","JAK2"
"9172","Kcna2","KCNA2"
"9173","Kcnd1","KCND1"
"9174","Kcnd3","KCND3"
"9175","Mmp14","MMP14"
"9176","Nrcam","NRCAM"
"9177","Pde1a","PDE1A"
"9178","Serpini1","SERPINI1"
"9179","Ppara","PPARA"
"9180","LOC102556141","RORC"
"9181","Siah2","SIAH2"
"9182","Slc1a6","SLC1A6"
"9183","Slc12a4","SLC12A4"
"9184","Tle1","TLE1"
"9185","Tle3","TLE3"
"9186","Zrsr2","ZRSR2"
"9187","Fez1","FEZ1"
"9188","Brdt","BRDT"
"9189","Med13","MED13"
"9190","Dop1b","DOP1B"
"9191","Slc12a6","SLC12A6"
"9192","Grk3","GRK3"
"9193","Aldoc","ALDOC"
"9194","Rnd3","RND3"
"9195","Ccr8","CCR8"
"9196","Dcc","DCC"
"9197","Epha3","EPHA3"
"9198","Erbb4","ERBB4"
"9199","Etv3","ETV3"
"9200","F2rl1","F2RL1"
"9201","Foxc2","FOXC2"
"9202","Gnat2","GNAT2"
"9203","Gpr1","GPR1"
"9204","Xcr1","XCR1"
"9205","Npbwr1","NPBWR1"
"9206","Mchr1","MCHR1"
"9207","Grpr","GRPR"
"9208","Gzmm","GZMM"
"9209","Myo1a","MYO1A"
"9210","Src","SRC"
"9211","Rnd2","RND2"
"9212","Naaladl1","NAALADL1"
"9213","Slc17a4","SLC17A4"
"9214","Itga3","ITGA3"
"9215","Abca1","ABCA1"
"9216","Scarb1","SCARB1"
"9217","Ccr4","CCR4"
"9218","Dmxl1","DMXL1"
"9219","Mnx1","MNX1"
"9220","Inhbc","INHBC"
"9221","Krt16","KRT16"
"9222","Lama1","LAMA1"
"9223","Bcam","BCAM"
"9224","Mdfi","MDFI"
"9225","Atp8b1","ATP8B1"
"9226","Rbbp4","RBBP4"
"9227","Slc1a5","SLC1A5"
