"","Symbol_Mouse","Symbol_Human"
"8612","1700034E13Rik","LOC100505841"
"8613","9930021J03Rik","KIAA2026"
"8614","Fam170b","FAM170B"
"8615","Pwwp2b","PWWP2B"
"8616","2300009A05Rik","C15orf61"
"8617","Bcl2l15","BCL2L15"
"8618","Ism1","ISM1"
"8619","Ydjc","YDJC"
"8620","Garem2","GAREM2"
"8621","Sh3d19","SH3D19"
"8622","Irx1","IRX1"
"8623","Chd7","CHD7"
"8625","Ankib1","ANKIB1"
"8626","Lrrc3c","LRRC3C"
"8627","Krt39","KRT39"
"8628","Nlrp1b","NLRP1"
"8629","Slfn14","SLFN14"
"8632","Dhrs7c","DHRS7C"
"8633","1700016C15Rik","C1orf100"
"8634","Zfp518b","ZNF518B"
"8635","Slc35d3","SLC35D3"
"8636","Shc2","SHC2"
"8637","Spryd4","SPRYD4"
"8638","Fam161a","FAM161A"
"8639","Cfap97d1","CFAP97D1"
"8640","1700001P01Rik","C17orf98"
"8641","Fam171a2","FAM171A2"
"8643","Rd3l","RD3L"
"8644","Psmg4","PSMG4"
"8645","Wnk2","WNK2"
"8646","Sh2d4b","SH2D4B"
"8647","Rnase10","RNASE10"
"8648","Samd4","SAMD4A"
"8649","Larp4","LARP4"
"8651","Ptx4","PTX4"
"8652","Eme2","EME2"
"8653","Lrfn2","LRFN2"
"8654","Lrrc73","LRRC73"
"8655","Gm94","C5orf46"
"8656","Spindoc","SPINDOC"
"8657","Camsap1","CAMSAP1"
"8658","Cracdl","CRACDL"
"8659","Snorc","SNORC"
"8660","Fam209","FAM209B"
"8661","Mybphl","MYBPHL"
"8662","Arhgef39","ARHGEF39"
"8663","Mfsd2a","MFSD2A"
"8664","Cd164l2","CD164L2"
"8665","Crybg2","CRYBG2"
"8666","Draxin","DRAXIN"
"8667","Rnf207","RNF207"
"8668","Adgra3","ADGRA3"
"8669","Lamtor4","LAMTOR4"
"8670","0610030E20Rik","C2orf68"
"8671","Clec12b","CLEC12B"
"8672","Resf1","RESF1"
"8673","Fezf1","FEZF1"
"8674","Ccdc61","CCDC61"
"8675","Nccrp1","NCCRP1"
"8676","Fam71e1","FAM71E1"
"8677","1700008O03Rik","C19orf81"
"8678","Tmem219","TMEM219"
"8679","Lrrc27","LRRC27"
"8680","Erich1","ERICH1"
"8681","Mboat4","MBOAT4"
"8682","4933405L10Rik","C16orf86"
"8683","Prss54","PRSS54"
"8684","9530077C05Rik","KIAA0895"
"8685","1700017B05Rik","C15orf39"
"8686","Kbtbd13","KBTBD13"
"8687","Hhatl","HHATL"
"8689","Map3k19","MAP3K19"
"8690","Mideas","MIDEAS"
"8691","Lrrc74a","LRRC74A"
"8693","C1ql4","C1QL4"
"8694","Ccdc154","CCDC154"
"8695","Tdrd6","TDRD6"
"8696","Tmem151b","TMEM151B"
"8697","Bicral","BICRAL"
"8698","Jcad","JCAD"
"8699","Asxl3","ASXL3"
"8700","Zfp518a","ZNF518A"
"8701","Gpr158","GPR158"
"8702","Zbtb34","ZBTB34"
"8703","Lrrc55","LRRC55"
"8704","Xirp2","XIRP2"
"8705","Xkr7","XKR7"
"8706","Zc3h12b","ZC3H12B"
"8708","Rtl3","RTL3"
"8710","Nxf3","NXF3"
"8711","Iqsec2","IQSEC2"
"8712","Tceanc","TCEANC"
"8713","Lrit3","LRIT3"
"8714","Vwa5b1","VWA5B1"
"8715","Myom3","MYOM3"
"8716","Rsbn1l","RSBN1L"
"8717","Rnf216","RNF216"
"8720","Atxn1l","ATXN1L"
"8721","Igsf9b","IGSF9B"
"8722","Ubap1l","UBAP1L"
"8723","Fam83b","FAM83B"
"8724","Tnfaip8l3","TNFAIP8L3"
"8725","Inca1","INCA1"
"8726","Spata13","SPATA13"
"8727","Nynrin","NYNRIN"
"8728","Ccdc191","CCDC191"
"8729","Cpn2","CPN2"
"8730","BC034090","KIAA1614"
"8731","Trnp1","TRNP1"
"8732","Rtp2","RTP2"
"8733","Usf3","USF3"
"8734","Slc9c1","SLC9C1"
"8735","Ankrd16","ANKRD16"
"8736","Bend3","BEND3"
"8737","Ppp1r18","PPP1R18"
"8738","Fam171a1","FAM171A1"
"8739","C2cd3","C2CD3"
"8740","Susd5","SUSD5"
"8741","Epgn","EPGN"
"8742","Myadml2","MYADML2"
"8743","Zbtb38","ZBTB38"
"8744","Hoxc6","HOXC6"
"8745","9930012K11Rik","C8orf58"
"8746","Dennd2c","DENND2C"
"8747","Fbxo10","FBXO10"
"8748","Anks6","ANKS6"
"8749","Nat8l","NAT8L"
"8750","Xrra1","XRRA1"
"8751","Calhm4","CALHM4"
"8752","Meioc","MEIOC"
"8753","Arhgef40","ARHGEF40"
"8754","Ankdd1b","ANKDD1B"
"8755","Shc4","SHC4"
"8756","Mcrip1","MCRIP1"
"8757","Plekhm2","PLEKHM2"
"8758","Lrrc10b","LRRC10B"
"8759","Stkld1","STKLD1"
"8760","Nexmif","NEXMIF"
"8761","Rilp","RILP"
"8762","Fuom","FUOM"
"8763","Tmed8","TMED8"
"8764","Tmem150b","TMEM150B"
"8765","Ankrd45","ANKRD45"
"8766","Cenpl","CENPL"
"8767","Zfp710","ZNF710"
"8768","Mroh7","MROH7"
"8769","Heatr5a","HEATR5A"
"8770","Ccdc33","CCDC33"
"8771","Lcmt2","LCMT2"
"8772","Zfp865","ZNF865"
"8773","Tead2","TEAD2"
"8774","Tomt","LRTOMT"
"8775","Zkscan2","ZKSCAN2"
"8778","Dnah3","DNAH3"
"8779","Hpse2","HPSE2"
"8780","Pwwp2a","PWWP2A"
"8781","Parp14","PARP14"
"8782","Dstyk","DSTYK"
"8783","D5Ertd579e","KIAA0232"
"8784","Olfr750","OR6S1"
"8785","Pabpn1l","PABPN1L"
"8786","Paqr6","PAQR6"
"8787","Nhsl2","NHSL2"
"8788","Pjvk","PJVK"
"8789","Ankrd63","ANKRD63"
"8790","D630045J12Rik","KIAA1549"
"8791","Zfp746","ZNF746"
"8792","Pcare","PCARE"
"8793","Adamtsl5","ADAMTSL5"
"8794","Ascl4","ASCL4"
"8795","Fdxacb1","FDXACB1"
"8796","Ankrd34c","ANKRD34C"
"8797","Adgrv1","ADGRV1"
"8798","Inka1","INKA1"
"8799","Glyatl3","GLYATL3"
"8801","Topaz1","TOPAZ1"
"8802","Fbxo41","FBXO41"
"8803","Foxr1","FOXR1"
"8804","Myorg","MYORG"
"8805","Ceacam16","CEACAM16"
"8806","Olfr322","OR2W3"
"8807","Sp6","SP6"
"8808","Tmem240","TMEM240"
"8809","Tvp23a","TVP23A"
"8810","Gatc","GATC"
"8811","2310009B15Rik","C1orf53"
"8812","Ermard","ERMARD"
"8813","Ttc9b","TTC9B"
"8814","Trpm1","TRPM1"
"8815","Ajm1","AJM1"
"8816","Efcab7","EFCAB7"
"8817","Ripply2","RIPPLY2"
"8818","Rprd2","RPRD2"
"8819","Sh2d5","SH2D5"
"8820","Zbtb42","ZBTB42"
"8821","Eppk1","EPPK1"
"8822","Iqcf5","IQCF5"
"8823","Pfn4","PFN4"
"8824","Xkr9","XKR9"
"8825","Acads","ACADS"
"8826","Acvrl1","ACVRL1"
"8827","Aldob","ALDOB"
"8828","Atp7b","ATP7B"
"8829","Avpr2","AVPR2"
"8830","Bche","BCHE"
"8831","Col4a4","COL4A4"
"8832","F13a1","F13A1"
"8833","Fuca1","FUCA1"
"8834","G6pc","G6PC1"
"8835","Gipr","GIPR"
"8836","Glra1","GLRA1"
"8837","Gnat1","GNAT1"
"8838","Cfh","CFH"
"8839","Hsd11b2","HSD11B2"
"8840","Hsd17b3","HSD17B3"
"8841","Insr","INSR"
"8842","Itga6","ITGA6"
"8843","Itgb2","ITGB2"
"8844","Mmut","MMUT"
"8845","Myl3","MYL3"
"8846","Myo5a","MYO5A"
"8847","Pfkm","PFKM"
"8848","Serpina1a","SERPINA1"
"8849","Serpina1b","SERPINA1"
"8850","Serpina1c","SERPINA1"
"8851","Serpina1d","SERPINA1"
"8852","Serpina1e","SERPINA1"
"8853","Pkd2","PKD2"
"8854","Rpe65","RPE65"
"8855","Serpina7","SERPINA7"
"8856","Col5a2","COL5A2"
"8857","Egr2","EGR2"
"8858","L1cam","L1CAM"
"8859","Slc26a4","SLC26A4"
"8860","Ak1","AK1"
"8861","Aqp2","AQP2"
"8862","Arsa","ARSA"
"8863","Serpinc1","SERPINC1"
"8864","Epx","EPX"
"8865","Hexa","HEXA"
"8866","Hoxd13","HOXD13"
"8867","Htr1a","HTR1A"
"8868","Ren1","REN"
"8869","Cd53","CD53"
"8870","Gpx1","GPX1"
"8871","Spp1","SPP1"
"8872","Serpina5","SERPINA5"
"8873","Adh4","ADH4"
"8874","Adora1","ADORA1"
"8875","Adora2a","ADORA2A"
"8876","Adora2b","ADORA2B"
"8877","Adra2c","ADRA2C"
"8878","Adrb1","ADRB1"
"8879","Agtr2","AGTR2"
"8880","Aldh3a1","ALDH3A1"
"8881","Amy1","AMY2A"
"8882","Atp4b","ATP4B"
"8883","Car4","CA4"
"8884","Cacna1b","CACNA1B"
"8885","Cacna1e","CACNA1E"
"8886","Cacnb1","CACNB1"
"8887","Cacnb3","CACNB3"
"8888","Cacnb4","CACNB4"
"8889","Chrm1","CHRM1"
"8890","Chrm2","CHRM2"
"8891","Chrm3","CHRM3"
"8892","Chrm4","CHRM4"
"8893","Chrna2","CHRNA2"
"8894","Chrnb4","CHRNB4"
"8895","Drd4","DRD4"
"8896","Drd5","DRD5"
"8897","Gabra2","GABRA2"
"8898","Gabra3","GABRA3"
"8899","Gabra5","GABRA5"
"8900","Gabra6","GABRA6"
"8901","Gabrb1","GABRB1"
"8902","Gad2","GAD2"
"8903","Glrb","GLRB"
"8904","Gria2","GRIA2"
"8905","Gria1","GRIA1"
"8906","Gria4","GRIA4"
"8907","Grm2","GRM2"
"8908","Grm4","GRM4"
"8909","Grm6","GRM6"
"8910","Grm7","GRM7"
"8911","Htr1d","HTR1D"
"8912","Htr2c","HTR2C"
"8913","Htr4","HTR4"
"8914","Htr7","HTR7"
"8915","Itgb7","ITGB7"
"8916","Kcnj5","KCNJ5"
"8917","Kcnj2","KCNJ2"
"8918","Maob","MAOB"
"8919","Oprd1","OPRD1"
"8920","Oprk1","OPRK1"
"8921","Oxtr","OXTR"
"8922","Pde4c","PDE4C"
"8923","Ptafr","PTAFR"
"8924","Ptger4","PTGER4"
"8925","Rara","RARA"
"8926","Rarg","RARG"
"8927","Rrm2","RRM2"
"8928","Scnn1g","SCNN1G"
"8929","Slc12a2","SLC12A2"
"8930","Sstr3","SSTR3"
"8931","Sstr4","SSTR4"
"8932","Sstr5","SSTR5"
"8933","Tacr1","TACR1"
"8934","Anxa5","ANXA5"
"8935","Arhgdib","ARHGDIB"
"8936","Arl1","ARL1"
"8937","Bcat1","BCAT1"
"8938","Bmpr1b","BMPR1B"
"8939","Car6","CA6"
"8940","Car9","CA9"
"8941","Car12","CA12"
"8942","Casq1","CASQ1"
"8943","Casq2","CASQ2"
"8944","Serpinh1","SERPINH1"
"8945","Cbr3","CBR3"
"8946","Entpd2","ENTPD2"
"8947","Cdh13","CDH13"
"8948","Ap1s1","AP1S1"
"8949","Clic1","CLIC1"
"8950","Ccr1","CCR1"
"8951","Crmp1","CRMP1"
"8952","Cx3cr1","CX3CR1"
"8953","Dgkq","DGKQ"
"8954","Dapk3","DAPK3"
"8955","Dnah9","DNAH9"
"8956","Dpys","DPYS"
"8957","Dpysl3","DPYSL3"
"8958","Dtna","DTNA"
"8959","Eef1g","EEF1G"
"8960","Eif1a","EIF1AX"
"8961","Elavl1","ELAVL1"
"8962","Fhl2","FHL2"
"8963","Foxc1","FOXC1"
"8964","Fzd2","FZD2"
"8965","B4galt1","B4GALT1"
"8966","Gle1","GLE1"
"8967","Gpr39","GPR39"
"8968","Ndst1","NDST1"
"8969","Ing2","ING2"
"8970","Acvr2a","ACVR2A"
"8971","Anxa8","ANXA8"
"8972","Anxa8","ANXA8L1"
"8973","Aplp2","APLP2"
"8974","Aqp5","AQP5"
"8975","Aqp6","AQP6"
"8976","Arhgap4","ARHGAP4"
"8977","Bmp7","BMP7"
"8978","Bmx","BMX"
"8979","Hc","C5"
"8980","C5ar1","C5AR1"
"8981","Car1","CA1"
"8982","Serpina6","SERPINA6"
"8983","Ccnd3","CCND3"
"8984","Cd9","CD9"
"8985","Cd37","CD37"
"8986","Entpd1","ENTPD1"
"8987","Cdh2","CDH2"
"8988","Cdh3","CDH3"
"8989","Cenpe","CENPE"
"8990","Ckm","CKM"
"8991","Clcn3","CLCN3"
"8992","Ccr3","CCR3"
"8993","Col4a1","COL4A1"
"8994","Col9a3","COL9A3"
"8995","Csnk2a2","CSNK2A2"
"8996","Cspg4","CSPG4"
"8997","Ctps","CTPS1"
"8998","Cfd","CFD"
"8999","Cela1","CELA1"
"9000","Elane","ELANE"
"9001","Erbb3","ERBB3"
"9002","Ezh1","EZH1"
"9003","Fgfr4","FGFR4"
"9004","Fpr1","FPR1"
"9005","Gabrr1","GABRR1"
"9006","Gabrr2","GABRR2"
"9007","Gna11","GNA11"
"9008","Gpc1","GPC1"
"9009","Gpx2","GPX2"
"9010","Gpx3","GPX3"
"9011","Grsf1","GRSF1"
"9012","Gzmk","GZMK"
"9013","Hck","HCK"
"9014","Hdc","HDC"
"9015","Rbmx","RBMX"
"9016","Hpn","HPN"
"9017","Hspe1","HSPE1"
"9018","Itga5","ITGA5"
"9019","Itgav","ITGAV"
"9020","Itgb5","ITGB5"
"9021","Cd82","CD82"
"9022","Kcna4","KCNA4"
"9023","Kcng1","KCNG1"
"9024","Kcnn3","KCNN3"
"9025","Kcns1","KCNS1"
"9026","Kcns3","KCNS3"
"9027","Kpna3","KPNA3"
"9028","Kpna4","KPNA4"
"9029","Krt4","KRT4"
"9030","Lrch4","LRCH4"
"9031","Lsamp","LSAMP"
"9032","Matn2","MATN2"
"9033","Mcc","MCC"
"9034","Mmp1a","MMP1"
"9035","Mmp3","MMP3"
"9036","Mmp10","MMP10"
"9037","Mmp12","MMP12"
"9038","Mmp13","MMP13"
"9039","Mmp15","MMP15"
"9040","Myh3","MYH3"
"9041","Myl4","MYL4"
"9042","Ndn","NDN"
"9043","Nmbr","NMBR"
"9044","Nme3","NME3"
"9045","P2ry4","P2RY4"
"9046","Pcsk6","PCSK6"
"9047","Serpinb2","SERPINB2"
"9048","Pbx1","PBX1"
"9049","Pfkp","PFKP"
"9050","Serpinb5","SERPINB5"
"9051","Pik3c2a","PIK3C2A"
"9052","Pik3c2b","PIK3C2B"
"9053","Pitx1","PITX1"
"9054","Pmp2","PMP2"
"9056","Ppp2r3a","PPP2R3A"
"9057","Prkcg","PRKCG"
"9058","Prss8","PRSS8"
"9059","Psmb10","PSMB10"
"9060","Ptpra","PTPRA"
"9061","Ptprf","PTPRF"
"9062","Ptprs","PTPRS"
"9063","Rab2a","RAB2A"
"9064","Rab3a","RAB3A"
"9065","Ralb","RALB"
"9066","Rcn1","RCN1"
"9067","Sh3gl2","SH3GL2"
"9068","Siah1a","SIAH1"
"9069","Slc1a4","SLC1A4"
"9070","Slc7a1","SLC7A1"
"9071","Slc7a2","SLC7A2"
"9072","Slc9a1","SLC9A1"
"9073","Slc9a2","SLC9A2"
"9074","Slc16a1","SLC16A1"
"9075","Slc34a1","SLC34A1"
"9076","Slc18a1","SLC18A1"
"9077","Slc22a1","SLC22A1"
"9078","Smarcd1","SMARCD1"
"9079","Smarcd2","SMARCD2"
"9080","Snrnp70","SNRNP70"
"9081","Stat4","STAT4"
"9082","Stat5a","STAT5A"
"9083","Stim1","STIM1"
"9084","Tcea3","TCEA3"
"9085","Nfe2l1","NFE2L1"
"9086","Tfap2b","TFAP2B"
"9087","Tgm4","TGM4"
"9088","Tgm3","TGM3"
"9089","Thbs4","THBS4"
"9090","Tia1","TIA1"
"9091","Tle2","TLE2"
"9092","Tlr1","TLR1"
"9093","Tlr2","TLR2"
"9094","Tlr3","TLR3"
"9095","Tlr5","TLR5"
"9096","Tspan6","TSPAN6"
"9097","Tmod1","TMOD1"
"9098","Tnnt1","TNNT1"
"9099","Trhr","TRHR"
"9100","Trpc3","TRPC3"
"9101","Trpm2","TRPM2"
"9102","Tulp3","TULP3"
"9103","Tyk2","TYK2"
"9104","Ube2d1","UBE2D1"
"9105","Ugt8a","UGT8"
"9106","Usp4","USP4"
"9107","Clip2","CLIP2"
"9108","Wnt2","WNT2"
"9109","Wnt5a","WNT5A"
"9110","Wnt10b","WNT10B"
"9111","Wnt9a","WNT9A"
"9112","Ywhab","YWHAB"
"9113","Zfp7","ZNF7"
"9114","Zfp189","ZNF189"
"9115","Cxcr4","CXCR4"
"9116","Csrp3","CSRP3"
"9117","Ptp4a2","PTP4A2"
"9118","Dysf","DYSF"
"9119","Fzd1","FZD1"
"9120","Fzd7","FZD7"
"9121","Tagln2","TAGLN2"
"9122","Bfsp2","BFSP2"
"9123","Stk24","STK24"
"9124","Nck2","NCK2"
"9125","Doc2b","DOC2B"
"9126","Galr3","GALR3"
"9127","Ppfia1","PPFIA1"
"9128","Ndst2","NDST2"
"9129","Lgr5","LGR5"
"9130","Hsd17b6","HSD17B6"
"9131","Srsf9","SRSF9"
"9132","Adam9","ADAM9"
"9133","Nr5a2","NR5A2"
"9134","Pex11a","PEX11A"
"9135","Trim24","TRIM24"
"9136","Hesx1","HESX1"
"9137","Inpp4b","INPP4B"
"9138","Kat2b","KAT2B"
"9139","Cpne3","CPNE3"
"9140","Rab29","RAB29"
"9141","Baiap3","BAIAP3"
"9142","Trio","TRIO"
"9143","Taar5","TAAR5"
"9144","Map7","MAP7"
"9145","Dmd","DMD"
"9146","Anxa2","ANXA2"
"9147","Bdh1","BDH1"
"9148","Car8","CA8"
"9149","Plk3","PLK3"
"9150","Ctss","CTSS"
"9151","Coch","COCH"
"9152","Dlg1","DLG1"
"9153","Dusp3","DUSP3"
"9154","Foxs1","FOXS1"
"9155","Gng10","GNG10"
"9156","Rab27b","RAB27B"
"9157","Slc1a1","SLC1A1"
"9158","Slc1a3","SLC1A3"
"9159","Slc7a4","SLC7A4"
"9160","Sema3f","SEMA3F"
"9161","Chrna6","CHRNA6"
"9162","Syt7","SYT7"
"9163","Slc28a2","SLC28A2"
"9164","Trip11","TRIP11"
"9165","Tgm5","TGM5"
"9166","Rab9","RAB9A"
"9167","Slc22a8","SLC22A8"
"9168","Rab3d","RAB3D"
"9169","Mtrf1","MTRF1"
"9170","Acvr1b","ACVR1B"
"9171","Anxa13","ANXA13"
"9172","Arhgap1","ARHGAP1"
"9173","Asph","ASPH"
"9174","Bmpr1a","BMPR1A"
"9175","Cd81","CD81"
"9176","Cd151","CD151"
"9177","Cdh1","CDH1"
"9178","Crhr1","CRHR1"
"9179","Ddx10","DDX10"
"9180","Dvl1","DVL1"
"9181","Dvl2","DVL2"
"9182","Dvl3","DVL3"
"9183","Epha2","EPHA2"
"9184","Elavl2","ELAVL2"
"9185","Eml1","EML1"
"9186","Epha4","EPHA4"
"9187","Epha7","EPHA7"
"9188","Ephb1","EPHB1"
"9189","Ephb3","EPHB3"
"9190","Ephb4","EPHB4"
"9191","Ephb6","EPHB6"
"9193","Gpc3","GPC3"
"9194","Kcnq3","KCNQ3"
"9195","Lrp2","LRP2"
"9196","Serpinb6a","SERPINB6"
"9197","Plcb2","PLCB2"
"9198","Pou4f2","POU4F2"
"9199","Tra2b","TRA2B"
"9200","Srebf2","SREBF2"
"9201","Tspan7","TSPAN7"
"9202","Tspan8","TSPAN8"
"9203","Wnt7a","WNT7A"
"9204","Wnt11","WNT11"
"9205","Sema3b","SEMA3B"
"9206","Mllt10","MLLT10"
"9207","Nphs1","NPHS1"
"9208","Lin7a","LIN7A"
"9209","Pias2","PIAS2"
"9210","Krt75","KRT75"
"9211","Slc16a6","SLC16A6"
"9212","Slc16a5","SLC16A5"
"9213","Syngr2","SYNGR2"
"9214","Slc16a7","SLC16A7"
"9215","Gcnt3","GCNT3"
"9216","Dhrs3","DHRS3"
"9217","Asic3","ASIC3"
"9218","Mmp20","MMP20"
"9219","Med1","MED1"
"9220","Tm9sf2","TM9SF2"
"9221","Nrxn1","NRXN1"
"9222","Grap2","GRAP2"
"9223","Ntn1","NTN1"
"9224","Themis2","THEMIS2"
"9225","Rock2","ROCK2"
"9226","Chst10","CHST10"
"9227","Fxr2","FXR2"
"9228","Pdia4","PDIA4"
"9229","Vps9d1","VPS9D1"
"9230","Abcg1","ABCG1"
"9231","Aqp3","AQP3"
"9232","Calb1","CALB1"
"9233","Cdh6","CDH6"
"9234","Dock3","DOCK3"
"9235","Hnrnpf","HNRNPF"
"9236","Jak2","JAK2"
"9237","Kcna2","KCNA2"
"9238","Kcnd1","KCND1"
"9239","Kcnd3","KCND3"
"9240","Mmp14","MMP14"
"9241","Nrcam","NRCAM"
"9242","Pde1a","PDE1A"
"9243","Serpini1","SERPINI1"
"9244","Ppara","PPARA"
"9245","Rorc","RORC"
"9246","Siah2","SIAH2"
"9247","Slc1a6","SLC1A6"
"9248","Slc12a4","SLC12A4"
"9249","Tle1","TLE1"
"9250","Tle3","TLE3"
"9251","Zrsr2","ZRSR2"
"9252","Fez1","FEZ1"
"9253","Brdt","BRDT"
"9254","Med13","MED13"
"9255","Dop1b","DOP1B"
"9256","Slc12a6","SLC12A6"
"9257","Grk3","GRK3"
"9258","Aldoc","ALDOC"
"9259","Rnd3","RND3"
"9260","Ccr8","CCR8"
"9261","Dcc","DCC"
"9262","Epha3","EPHA3"
"9263","Erbb4","ERBB4"
"9264","Etv3","ETV3"
"9265","Mecom","MECOM"
"9266","F2rl1","F2RL1"
"9267","Foxc2","FOXC2"
"9268","Gnat2","GNAT2"
"9269","Gpr1","GPR1"
"9270","Xcr1","XCR1"
"9271","Npbwr1","NPBWR1"
"9272","Mchr1","MCHR1"
"9273","Grpr","GRPR"
"9274","Gzmm","GZMM"
"9275","Myo1a","MYO1A"
"9276","Src","SRC"
"9277","Rnd2","RND2"
"9278","Naaladl1","NAALADL1"
"9279","Slc17a4","SLC17A4"
"9280","Itga3","ITGA3"
"9281","Abca1","ABCA1"
"9282","Scarb1","SCARB1"
"9283","Ccr4","CCR4"
"9284","Dmxl1","DMXL1"
"9285","Mnx1","MNX1"
"9286","Inhbc","INHBC"
"9287","Krt16","KRT16"
"9288","Lama1","LAMA1"
"9289","Lnpep","LNPEP"
"9290","Bcam","BCAM"
"9291","Mdfi","MDFI"
"9292","Atp8b1","ATP8B1"
"9293","Rbbp4","RBBP4"
"9294","Slc1a5","SLC1A5"
"9295","Nr2f1","NR2F1"
"9296","Taf1c","TAF1C"
"9297","Abcc5","ABCC5"
"9298","Nr1h3","NR1H3"
"9299","Edil3","EDIL3"
"9300","Gipc1","GIPC1"
"9301","Tspan3","TSPAN3"
"9302","Tspan2","TSPAN2"
"9303","Tspan1","TSPAN1"
"9304","Actr1a","ACTR1A"
"9305","Trim28","TRIM28"
"9306","Rbm5","RBM5"
"9307","Calcrl","CALCRL"
"9308","Prdx2","PRDX2"
"9309","Gdf11","GDF11"
"9310","Stag1","STAG1"
"9311","Cwc27","CWC27"
"9312","Dnaja2","DNAJA2"
"9313","Idh1","IDH1"
"9314","Smad1","SMAD1"
"9315","Smad2","SMAD2"
"9316","Smad9","SMAD9"
"9317","Afdn","AFDN"
"9318","Mtnr1a","MTNR1A"
"9319","Zbtb16","ZBTB16"
"9320","Zfand5","ZFAND5"
"9321","Arid1a","ARID1A"
"9322","Lipg","LIPG"
"9323","Hs3st2","HS3ST2"
"9324","Apbb3","APBB3"
"9325","Lamc3","LAMC3"
"9326","Tlr6","TLR6"
"9327","Coro2b","CORO2B"
"9328","Myl9","MYL9"
"9329","Rapgef3","RAPGEF3"
"9330","Tmem50b","TMEM50B"
"9331","Gzma","GZMA"
"9332","Lgals4","LGALS4"
"9333","Lpo","LPO"
"9334","Npy5r","NPY5R"
"9335","Pbx3","PBX3"
"9336","Pcsk5","PCSK5"
"9337","Serpine2","SERPINE2"
"9338","Serpini2","SERPINI2"
"9339","Pik3ca","PIK3CA"
"9340","Pik3cb","PIK3CB"
"9341","Plcd1","PLCD1"
"9342","Pnliprp1","PNLIPRP1"
"9343","Pou4f1","POU4F1"
"9344","Prkcq","PRKCQ"
"9345","Dpf2","DPF2"
"9346","Tln1","TLN1"
"9347","Zkscan8","ZKSCAN8"
"9348","Lrrn2","LRRN2"
"9349","Zbtb18","ZBTB18"
"9350","Crtap","CRTAP"
"9351","Sema4d","SEMA4D"
"9352","Pdlim5","PDLIM5"
"9353","Trim3","TRIM3"
"9354","Fbln1","FBLN1"
"9355","Nova1","NOVA1"
"9356","Scn10a","SCN10A"
"9357","Dynlt3","DYNLT3"
"9358","Slc12a7","SLC12A7"
"9359","Chl1","CHL1"
"9360","Plk2","PLK2"
"9361","Arpp19","ARPP19"
"9362","Slc17a3","SLC17A3"
"9363","Mthfd2","MTHFD2"
"9364","Hsph1","HSPH1"
"9365","Cplx1","CPLX1"
"9366","Slc1a7","SLC1A7"
"9367","Slc22a7","SLC22A7"
"9368","Actl7b","ACTL7B"
"9369","Mmp24","MMP24"
"9370","Pnpla6","PNPLA6"
"9371","Gadd45g","GADD45G"
"9372","Ifrd2","IFRD2"
"9373","Rab38","RAB38"
"9374","Kif2c","KIF2C"
"9375","Glipr1","GLIPR1"
"9376","Tmed1","TMED1"
"9377","Rab35","RAB35"
"9378","Dstn","DSTN"
"9379","Zfhx3","ZFHX3"
"9380","Myo9a","MYO9A"
"9381","Rxrg","RXRG"
"9382","Scn1a","SCN1A"
"9383","Sox5","SOX5"
"9384","Adamts1","ADAMTS1"
"9385","Upk1a","UPK1A"
"9386","Wwp1","WWP1"
"9387","Tppp","TPPP"
"9388","Capn11","CAPN11"
"9389","Nr1h2","NR1H2"
"9390","Utrn","UTRN"
"9391","Zxdb","ZXDB"
"9392","Cit","CIT"
"9393","Abcf2","ABCF2"
"9394","Anxa10","ANXA10"
"9395","Klk8","KLK8"
"9396","Fzd10","FZD10"
"9397","Praf2","PRAF2"
"9398","Car5b","CA5B"
"9399","Pacsin2","PACSIN2"
"9400","Klhl2","KLHL2"
"9401","Klf12","KLF12"
"9402","Slco2b1","SLCO2B1"
"9403","Ctrc","CTRC"
"9404","Stat1","STAT1"
"9405","Prmt1","PRMT1"
"9406","Pgk1","PGK1"
"9407","Ptpro","PTPRO"
"9408","Ranbp1","RANBP1"
"9409","Sptlc2","SPTLC2"
"9410","Tm9sf4","TM9SF4"
"9411","Fhit","FHIT"
"9412","Ak3","AK3"
"9413","Nalcn","NALCN"
"9414","Gykl1","GK"
"9415","Tmlhe","TMLHE"
"9416","Slc25a16","SLC25A16"
"9417","Atp9b","ATP9B"
"9418","Slc13a5","SLC13A5"
"9419","Ap1b1","AP1B1"
"9420","Uba1","UBA1"
"9422","Vps13a","VPS13A"
"9423","Med14","MED14"
"9424","Mospd2","MOSPD2"
"9425","Pak5","PAK5"
"9426","Zcchc7","ZCCHC7"
"9427","Eif1b","EIF1B"
"9428","Decr2","DECR2"
"9429","Polr1d","POLR1D"
"9430","Paqr4","PAQR4"
"9431","Tagln3","TAGLN3"
"9432","Rrp12","RRP12"
"9433","Ap4e1","AP4E1"
"9434","Gna12","GNA12"
"9435","Adcy6","ADCY6"
"9436","Angpt2","ANGPT2"
"9437","Rhod","RHOD"
"9438","Hnrnpd","HNRNPD"
"9439","Bcap29","BCAP29"
"9440","Bmp5","BMP5"
"9441","Cdk11b","CDK11A"
"9442","Ackr3","ACKR3"
"9443","Col13a1","COL13A1"
"9444","Col8a1","COL8A1"
"9445","Cux2","CUX2"
"9446","Dcn","DCN"
"9447","Dhh","DHH"
"9448","Epha8","EPHA8"
"9449","Gabrg2","GABRG2"
"9450","Gabrg3","GABRG3"
"9451","Hcn3","HCN3"
"9452","Hes2","HES2"
